ec,n_pairs,S_retrieval,coverage,covadj,neglog_e,alnlen,tlen,hmm_bitscore,hmm_neglog_e,adversary,best_single
1_11_1_7,15,0.52,0.8844444444444446,0.48000000000000004,0.27111111111111114,0.21999999999999997,0.1511111111111111,0.92,0.92,0.9511111111111111,0.92
2_3_1_225,7,0.5102040816326531,0.3877551020408163,0.326530612244898,0.4897959183673469,0.6224489795918368,0.7959183673469387,1.0,1.0,1.0,1.0
2_5_1_18,13,0.5384615384615385,0.6449704142011834,0.5502958579881656,0.4556213017751479,0.30177514792899407,0.2958579881656805,0.47633136094674555,0.4733727810650888,0.48520710059171596,0.7041420118343196
2_7_10_1,11,0.5082644628099174,0.5413223140495868,0.4793388429752066,0.615702479338843,0.6487603305785125,0.615702479338843,0.9421487603305785,0.9421487603305785,0.9256198347107438,0.9421487603305785
2_7_11_1,229,0.5306344272611124,0.4168875498178906,0.38822676913102344,0.5721572815163708,0.6627257298678515,0.7458286455254477,0.4651417783795122,0.46505596765889284,0.7881237962662802,0.7458286455254477
2_7_13_3,36,0.5216049382716049,0.5516975308641976,0.5354938271604938,0.9799382716049383,0.9660493827160493,0.9305555555555556,0.9305555555555556,0.9305555555555556,0.9845679012345678,0.9799382716049383
2_7_4_3,11,0.5413223140495869,0.39669421487603307,0.6198347107438016,0.5537190082644629,0.3223140495867768,0.4462809917355372,0.21487603305785125,0.21487603305785125,0.8016528925619836,0.7851239669421488
3_1_1_4,12,0.5069444444444444,0.7708333333333333,0.625,0.5694444444444444,0.6597222222222223,0.6388888888888888,0.6666666666666666,0.6666666666666666,0.8263888888888888,0.7708333333333333
3_1_26_4,20,0.5175000000000001,0.48749999999999993,0.5225,0.26999999999999996,0.34374999999999994,0.33749999999999997,0.8162499999999999,0.83375,0.8025,0.83375
3_1_3_5,9,0.5308641975308642,1.0,0.691358024691358,0.7777777777777779,0.9135802469135803,0.6049382716049383,0.5679012345679012,0.5679012345679012,0.8765432098765432,1.0
3_2_1_21,11,0.5454545454545454,0.9256198347107438,0.6942148760330579,0.8512396694214877,0.8512396694214877,0.834710743801653,0.12396694214876033,0.12396694214876033,0.9008264462809917,0.9256198347107438
3_2_1_4,32,0.50732421875,0.341796875,0.46484375,0.5693359375,0.5859375,0.58740234375,0.625,0.625,0.671875,0.658203125
3_4_19_12,17,0.5103806228373702,0.5847750865051903,0.7024221453287196,0.1522491349480969,0.11764705882352941,0.11764705882352941,0.8529411764705883,0.8529411764705883,0.9411764705882353,0.8823529411764706
3_6_1_23,6,0.5138888888888888,0.75,0.6388888888888888,0.2777777777777778,0.05555555555555554,0.05555555555555554,0.638888888888889,0.638888888888889,0.6944444444444444,0.9444444444444444
3_6_4_13,18,0.7314814814814815,0.26080246913580246,0.2685185185185185,0.20370370370370366,0.15740740740740736,0.15432098765432095,0.8873456790123457,0.8873456790123457,0.8765432098765432,0.8873456790123457
5_3_1_24,10,0.53,0.8,0.51,0.44000000000000006,0.91,0.21000000000000002,0.9,0.9,0.8300000000000001,0.91
5_6_2_4,20,0.50625,0.645,0.64,0.5750000000000001,0.5925,0.4775,0.6625000000000001,0.6625000000000001,0.7125,0.6625000000000001
6_1_1_16,9,0.6604938271604939,0.5802469135802469,0.8888888888888888,1.0,0.9259259259259259,0.9506172839506173,0.8888888888888888,0.8888888888888888,0.8765432098765431,1.0
7_1_1_2,34,0.5839100346020761,0.6496539792387543,0.5536332179930796,0.3062283737024222,0.24870242214532873,0.21929065743944637,0.6738754325259516,0.5934256055363322,0.7664359861591695,0.7807093425605536
