ec,n_pairs,pident,coverage,covadj,neglog_e,log_alnlen,log_tlen,adversary,best_single
1_11_1_7,10,0.5249999999999999,0.82,0.6300000000000001,0.5399999999999999,0.56,0.19999999999999998,0.74,0.82
1_1_1_23,13,0.7100591715976332,1.0,1.0,0.9112426035502958,1.0,1.0,1.0,1.0
1_1_1_25,104,0.5280602810650887,0.764376849112426,0.7209689349112425,0.5885262573964498,0.36367418639053256,0.2243435650887574,0.9221523668639053,0.7756564349112426
1_1_1_37,8,0.4921875,0.9375,0.796875,0.546875,0.4296875,0.1640625,0.640625,0.9375
1_1_1_94,18,0.5848765432098766,1.0,0.888888888888889,0.7962962962962964,0.5154320987654322,0.24074074074074073,0.9814814814814815,1.0
1_2_1_38,9,0.4876543209876543,0.5740740740740741,0.5185185185185185,0.49382716049382713,0.345679012345679,0.0,0.9506172839506173,1.0
1_2_1_70,22,0.5692148760330579,1.0,1.0,1.0,1.0,0.9111570247933884,1.0,1.0
1_4_3_5,7,1.0,1.0,1.0,0.12244897959183673,0.0,0.0,1.0,1.0
1_8_4_11,9,0.5246913580246914,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2_1_1_166,16,0.4140625,1.0,1.0,1.0,1.0,0.0234375,1.0,1.0
2_1_1_182,30,0.5788888888888889,0.9766666666666667,1.0,0.9977777777777778,0.9022222222222223,0.3666666666666667,1.0,1.0
2_1_1_199,29,0.6087990487514864,1.0,1.0,1.0,1.0,0.9256837098692033,1.0,1.0
2_1_1_228,16,0.673828125,1.0,0.9921875,0.99609375,0.9921875,0.791015625,0.99609375,1.0
2_1_1_33,7,0.47959183673469385,1.0,1.0,0.7551020408163266,0.7346938775510203,0.24489795918367346,1.0,1.0
2_1_1_77,8,0.703125,1.0,1.0,1.0,1.0,0.34375,1.0,1.0
2_1_2_9,31,0.6040582726326743,1.0,1.0,0.9750260145681582,0.9032258064516129,0.5161290322580645,1.0,1.0
2_1_3_2,37,0.635500365230095,0.9590942293644996,0.9970781592403214,0.1577794010226442,0.13111760409057702,0.047845142439737025,1.0,0.9970781592403214
2_3_1_191,12,0.6527777777777778,0.9999999999999999,1.0,1.0,1.0,0.75,1.0,1.0
2_3_1_225,27,0.6700960219478738,0.6364883401920439,0.1769547325102881,0.53360768175583,0.6193415637860082,0.8559670781893003,0.9862825788751715,0.8559670781893003
2_3_1_234,8,0.578125,1.0,1.0,0.984375,1.0,0.421875,1.0,1.0
2_3_1_286,8,0.6484375,1.0,1.0,1.0,1.0,0.0,1.0,1.0
2_3_1_47,18,0.33179012345679015,0.8641975308641976,0.5,0.3827160493827161,0.3055555555555555,0.0,0.9351851851851852,1.0
2_3_2_27,176,0.514947055785124,0.7847042871900827,0.732082902892562,0.6234181301652892,0.6920034865702479,0.5880036157024793,0.888332902892562,0.7847042871900827
2_3_3_13,19,0.3975069252077562,0.703601108033241,0.556786703601108,0.6565096952908587,0.9806094182825484,1.0,0.9667590027700832,1.0
2_4_1_21,16,0.734375,0.91796875,0.9375,1.0,0.99609375,1.0,1.0,1.0
2_4_1_227,14,0.875,1.0,1.0,1.0,0.8520408163265306,0.5,1.0,1.0
2_4_2_10,41,0.5068411659726353,0.9934562760261749,1.0,1.0,0.9821534800713861,0.9271267102914932,1.0,1.0
2_4_2_18,55,0.5180165289256198,1.0,1.0,0.9871074380165289,1.0,0.6925619834710744,1.0,1.0
2_4_2_7,98,0.5243127863390253,0.9976051645147855,1.0,1.0,0.9688671386922116,0.010932944606414002,0.9998958767180341,1.0
2_4_2_9,32,0.5888671875,1.0,1.0,1.0,0.9951171875,0.8720703125,0.9697265625,1.0
2_5_1_141,62,0.5092351716961498,0.7671696149843913,1.0,1.0,0.754942767950052,0.5437044745057232,1.0,1.0
2_5_1_18,31,0.509885535900104,0.8470343392299688,0.6347554630593132,0.578563995837669,0.5733610822060353,0.413111342351717,0.8199791883454735,0.8470343392299688
2_5_1_19,26,0.5525147928994083,0.82396449704142,1.0,1.0,0.7862426035502958,0.82396449704142,1.0,1.0
2_5_1_3,113,0.49275589317879237,0.975252564805388,0.9264625264312005,0.178870702482575,0.026940245908058595,0.023102827159526978,0.9736079567703031,0.9768971728404731
2_5_1_75,24,0.40364583333333337,0.9791666666666666,0.9878472222222222,0.984375,0.8333333333333334,0.638888888888889,1.0,0.9878472222222222
2_6_1_9,87,0.5492138987977275,0.9702734839476814,0.963799709340732,0.46703659664420666,0.16825208085612364,0.08224336107808167,0.9911481041088651,0.9702734839476814
2_7_10_1,43,0.5557057869118441,0.7333693888588426,0.7452677122769065,0.813953488372093,0.8683071930773391,0.6498107084910762,0.9096809085992428,0.8683071930773391
2_7_11_1,250,0.505944,0.546256,0.5858000000000001,0.661392,0.609648,0.6469039999999999,0.7631999999999999,0.661392
2_7_13_3,121,0.5003756574004508,0.369612731370808,0.3421555904651322,0.7881975274912916,0.984905402636432,0.8481319581995765,0.9844955945632129,0.984905402636432
2_7_1_148,45,0.5958024691358025,0.9674074074074074,1.0,1.0,0.7530864197530864,0.16148148148148148,1.0,1.0
2_7_1_23,9,0.4691358024691358,0.7407407407407407,0.6296296296296297,0.6419753086419753,0.5679012345679012,0.46913580246913583,0.5555555555555556,0.7407407407407407
2_7_1_24,8,0.484375,0.984375,1.0,1.0,1.0,0.8046875,1.0,1.0
2_7_1_33,8,0.734375,1.0,1.0,1.0,0.9375,0.15625,1.0,1.0
2_7_1_39,12,0.7118055555555556,0.9722222222222222,1.0,1.0,0.923611111111111,0.7430555555555556,1.0,1.0
2_7_1_50,19,0.6024930747922438,1.0,1.0,0.9612188365650969,0.7368421052631579,0.6842105263157895,1.0,1.0
2_7_1_71,30,0.5233333333333332,0.9822222222222221,0.9844444444444445,0.5077777777777778,0.3583333333333334,0.15111111111111108,0.99,0.9844444444444445
2_7_2_1,18,0.4722222222222222,0.8549382716049383,0.5462962962962963,0.5555555555555556,0.8009259259259259,0.18827160493827158,0.6512345679012346,0.8549382716049383
2_7_2_11,11,0.7148760330578513,0.9834710743801652,1.0,1.0,1.0,0.14876033057851243,1.0,1.0
2_7_2_3,22,0.5692148760330579,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2_7_2_8,24,0.6180555555555556,0.9739583333333333,0.9965277777777777,0.6128472222222222,0.3576388888888889,0.09374999999999999,0.9062499999999999,0.9965277777777777
2_7_4_22,5,0.6,1.0,1.0,1.0,1.0,0.0,1.0,1.0
2_7_4_25,123,0.5223742481327251,0.9932579813603014,1.0,1.0,0.9737920549937207,0.7635666600568444,1.0,1.0
2_7_4_3,116,0.5460017835909632,0.8982609988109393,0.9497621878715815,0.9579369797859691,0.8870763971462545,0.34185493460166466,0.9750297265160525,0.9579369797859691
2_7_4_6,28,0.7308673469387755,0.9655612244897959,0.9196428571428571,0.7410714285714286,0.3845663265306122,0.1147959183673469,0.9145408163265306,0.9655612244897959
2_7_4_8,14,0.5153061224489796,0.9591836734693878,1.0,0.9999999999999999,0.9285714285714285,0.03316326530612245,1.0,1.0
2_7_4_9,19,0.6426592797783934,0.9833795013850416,1.0,1.0,0.9279778393351801,0.709141274238227,0.9473684210526316,1.0
2_7_7_18,65,0.605680473372781,0.9803550295857988,1.0,0.9983431952662722,0.936923076923077,0.9821301775147928,0.9966863905325445,1.0
2_7_7_3,66,0.6228191000918274,0.9731404958677686,0.987603305785124,1.0,0.9286042240587695,0.153236914600551,1.0,1.0
2_7_7_38,7,0.6326530612244898,0.6632653061224489,0.7959183673469388,0.7959183673469388,0.7755102040816327,0.5102040816326531,1.0,0.7959183673469388
2_7_7_6,12,0.5590277777777778,1.0,1.0,0.8958333333333334,0.8819444444444444,0.35416666666666663,1.0,1.0
