family_id,n_train_neg_requested,n_train_neg_actual,n_eval,raw_auroc,adjusted_auroc,raw_paired_ranking_accuracy
1_11_1_7,1,1,18,0.8024691358024691,0.7901234567901235,0.7777777777777778
1_11_1_7,2,2,16,0.890625,0.890625,0.875
1_11_1_7,3,3,14,0.979591836734694,0.979591836734694,1.0
1_11_1_7,5,5,10,0.92,0.92,0.8
1_11_1_7,8,8,4,1.0,1.0,1.0
1_11_1_7,10,8,4,1.0,1.0,1.0
1_14_99_56,1,1,4,1.0,0.75,1.0
1_14_99_56,2,1,4,1.0,0.75,1.0
1_14_99_56,3,1,4,1.0,0.75,1.0
1_17_7_4,1,1,4,1.0,1.0,1.0
1_17_7_4,2,1,4,1.0,1.0,1.0
1_17_7_4,3,1,4,1.0,1.0,1.0
1_1_1_23,1,1,24,1.0,1.0,1.0
1_1_1_23,2,2,22,1.0,1.0,1.0
1_1_1_23,3,3,20,1.0,1.0,1.0
1_1_1_23,5,5,16,1.0,1.0,1.0
1_1_1_23,8,8,10,1.0,1.0,1.0
1_1_1_23,10,10,6,1.0,1.0,1.0
1_1_1_25,1,1,206,0.7972476199453294,0.8414553680837025,0.7766990291262136
1_1_1_25,2,2,204,0.7954632833525567,0.8437139561707037,0.7745098039215687
1_1_1_25,3,3,202,0.7909028526615037,0.8384472110577396,0.7722772277227723
1_1_1_25,5,5,198,0.7863483318028773,0.8317518620548924,0.7676767676767676
1_1_1_25,8,8,192,0.9905598958333334,0.9905598958333334,1.0
1_1_1_25,10,10,188,0.9912856496152105,0.9912856496152105,1.0
1_1_1_25,15,15,178,0.9974750662795102,0.9994950132559021,1.0
1_1_1_25,20,20,168,0.9956065759637188,0.9992913832199547,1.0
1_1_1_25,30,30,148,0.9897735573411249,0.9979912344777209,1.0
1_1_1_25,50,50,108,0.9842249657064472,0.9955418381344308,1.0
1_1_1_37,1,1,14,0.7755102040816326,0.9387755102040816,1.0
1_1_1_37,2,2,12,0.7777777777777779,0.9166666666666667,1.0
1_1_1_37,3,3,10,0.76,0.88,1.0
1_1_1_37,5,5,6,0.7777777777777779,1.0,1.0
1_1_1_37,8,6,4,0.75,1.0,1.0
1_1_1_38,1,1,4,1.0,0.5,1.0
1_1_1_38,2,1,4,1.0,0.5,1.0
1_1_1_38,3,1,4,1.0,0.5,1.0
1_1_1_94,1,1,34,0.820069204152249,0.8512110726643598,1.0
1_1_1_94,2,2,32,0.81640625,0.82421875,1.0
1_1_1_94,3,3,30,0.8133333333333334,0.8444444444444444,1.0
1_1_1_94,5,5,26,0.834319526627219,0.7869822485207101,1.0
1_1_1_94,8,8,20,0.9299999999999999,0.9700000000000001,1.0
1_1_1_94,10,10,16,1.0,1.0,1.0
1_1_1_94,15,15,6,1.0,1.0,1.0
1_2_1_38,1,1,16,0.90625,1.0,1.0
1_2_1_38,2,2,14,0.8775510204081632,1.0,1.0
1_2_1_38,3,3,12,1.0,1.0,1.0
1_2_1_38,5,5,8,1.0,1.0,1.0
1_2_1_38,8,7,4,1.0,1.0,1.0
1_2_1_70,1,1,42,1.0,1.0,1.0
1_2_1_70,2,2,40,1.0,1.0,1.0
1_2_1_70,3,3,38,1.0,1.0,1.0
1_2_1_70,5,5,34,1.0,1.0,1.0
1_2_1_70,8,8,28,1.0,1.0,1.0
1_2_1_70,10,10,24,1.0,1.0,1.0
1_2_1_70,15,15,14,1.0,1.0,1.0
1_2_1_70,20,20,4,1.0,1.0,1.0
1_4_1_4,1,1,4,1.0,0.5,1.0
1_4_1_4,2,1,4,1.0,0.5,1.0
1_4_1_4,3,1,4,1.0,0.5,1.0
1_4_3_5,1,1,12,1.0,0.8333333333333334,1.0
1_4_3_5,2,2,10,1.0,0.6799999999999999,1.0
1_4_3_5,3,3,8,1.0,0.625,1.0
1_4_3_5,5,5,4,1.0,0.5,1.0
