family_id,n_prompt_sequences,prompt_residues,n_samples,n_pos,n_neg,similarity_adjust_intercept,similarity_adjust_slope,raw_similarity_corr,raw_auroc,raw_auprc,raw_paired_ranking_accuracy,raw_best_threshold_accuracy,raw_mean_pos_score,raw_mean_neg_score,adjusted_auroc,adjusted_auprc,adjusted_paired_ranking_accuracy,adjusted_best_threshold_accuracy,adjusted_mean_pos_score,adjusted_mean_neg_score
1_11_1_7,15,5673,20,10,10,-4.57150647080813,0.04630440677271379,0.6873693676689917,0.32999999999999996,0.4213399508987744,0.3,0.55,-2.2296875,-1.8703125,0.30000000000000004,0.4136113937661926,0.3,0.5,-0.18825381525295176,0.18825381525295232
1_12_99_6,10,3968,4,2,2,-8.981633732606504,0.1408625914502939,0.9202075407491708,0.625,0.75,0.75,0.75,-2.125,-2.4140625,1.0,1.0,1.0,1.0,0.20791941615263188,-0.20791941615263276
1_13_11_58,7,5553,4,2,2,-0.9762716623876744,-0.06318196405648274,-0.5267875255094736,0.875,0.8333333333333333,1.0,0.75,-2.609375,-2.7265625,1.0,1.0,1.0,1.0,0.06649149550706013,-0.06649149550706057
1_14_99_56,20,5969,6,3,3,-2.6629326344301765,0.011524378009630803,0.17980801922721396,0.33333333333333337,0.5111111111111111,0.3333333333333333,0.6666666666666666,-1.9453125,-1.8723958333333333,0.33333333333333337,0.5111111111111111,0.3333333333333333,0.6666666666666666,-0.05835465155163089,0.058354651551632664
1_17_7_4,18,5805,6,3,3,-0.0870441717025138,-0.035289333127141206,-0.5334496564375047,0.5555555555555556,0.6444444444444444,0.3333333333333333,0.6666666666666666,-1.9322916666666667,-1.8671875,0.6666666666666667,0.6944444444444444,0.6666666666666666,0.8333333333333334,0.02038191635737885,-0.020381916357377888
1_18_1_2,17,5774,4,2,2,-0.37545853566081927,-0.019783909446854243,-0.6909749663341317,0.0,0.41666666666666663,0.0,0.5,-1.7734375,-1.58203125,0.25,0.5,0.5,0.5,-0.020029671365782487,0.020029671365782487
1_1_1_23,14,5963,26,13,13,-3.1400958086454205,0.021738580712061792,0.3713449301228765,0.9437869822485206,0.9665551839464881,1.0,0.9615384615384616,-1.4663461538461537,-2.0174278846153846,0.9230769230769231,0.9279017990556453,1.0,0.9230769230769231,0.24184606528091945,-0.24184606528091973
1_1_1_25,16,5734,208,104,104,-2.2150447463303036,0.006411713194634401,0.17902216037198274,0.6222725591715976,0.6373667482629503,0.6394230769230769,0.6778846153846154,-1.8791316105769231,-1.9532752403846154,0.6354937130177515,0.6398325254367211,0.6442307692307693,0.6826923076923077,0.03390911406841823,-0.03390911406841364
1_1_1_262,18,5961,4,2,2,-2.379293510245572,0.012489299662939372,0.5245531072672138,0.75,0.8333333333333333,1.0,0.75,-1.5234375,-1.5859375,0.25,0.5,0.0,0.5,-0.010901386362420218,0.010901386362420329
1_1_1_37,20,5842,16,8,8,-1.7349536881854122,0.002093402407755332,0.057654633164321074,0.3203125,0.4282196969696969,0.375,0.5625,-1.751953125,-1.5341796875,0.328125,0.43302738927738926,0.375,0.5625,-0.10921381287621021,0.10921381287621335
1_1_1_38,10,5644,6,3,3,0.1174795777047042,-0.022371022929257026,-0.8773269294159093,0.0,0.38333333333333336,0.0,0.5,-1.4296875,-1.2838541666666667,0.33333333333333337,0.4777777777777778,0.3333333333333333,0.6666666666666666,-0.005057897114586411,0.005057897114587521
1_1_1_94,17,5697,36,18,18,-2.602541359402658,0.01763310858732814,0.48624982152803625,0.5555555555555556,0.5621203276728639,0.6666666666666666,0.6666666666666666,-1.8823784722222223,-1.9014756944444444,0.5740740740740742,0.5360512740583734,0.6111111111111112,0.6666666666666666,-0.008574306048086733,0.008574306048087768
1_2_1_10,19,5929,4,2,2,-12.366990927419353,0.1616935483870968,0.7785066373036952,1.0,1.0,1.0,1.0,-1.1953125,-1.96875,0.5,0.75,0.5,0.75,0.08758568548386858,-0.08758568548387391
1_2_1_38,17,5816,18,9,9,-3.430684017515275,0.036956006079129335,0.8283439138467636,0.6419753086419753,0.6714692714692714,0.8888888888888888,0.6666666666666666,-1.8324652777777777,-1.9114583333333333,0.7407407407407407,0.6785714285714286,0.7777777777777778,0.7222222222222222,0.028820348243804653,-0.02882034824380951
1_2_1_70,13,5634,44,22,22,-2.2456038934917615,0.0057611881410156605,0.1236965799872495,0.31404958677685946,0.40368556116329646,0.2727272727272727,0.5227272727272727,-2.106534090909091,-1.9552556818181819,0.2995867768595041,0.3902956311048201,0.2727272727272727,0.5227272727272727,-0.07886023246065818,0.07886023246065933
1_4_1_4,13,5832,6,3,3,-2.246160051661649,0.01785447351848565,0.6981955938016938,0.6666666666666666,0.8333333333333333,0.6666666666666666,0.8333333333333334,-1.2708333333333333,-1.1223958333333333,0.0,0.38333333333333336,0.0,0.5,-0.12093795570670325,0.12093795570670489
1_4_3_5,28,5952,14,7,7,-8.149951780540372,0.1162625918064816,0.7857798209107261,1.0,0.9999999999999998,1.0,1.0,-1.4642857142857142,-1.9587053571428572,0.653061224489796,0.6874149659863946,0.7142857142857143,0.7142857142857143,0.06700280412852612,-0.0670028041285241
1_4_4_2,10,5192,4,2,2,-2.0244958109445705,0.01486937924208146,0.2831033909425192,1.0,1.0,1.0,1.0,-1.35546875,-1.828125,0.75,0.8333333333333333,0.5,0.75,0.20064161481900455,-0.20064161481900444
1_7_1_17,29,5958,4,2,2,-2.7615718629364787,0.023293560273732215,0.9031775769680704,0.25,0.5,0.0,0.5,-2.0234375,-1.80859375,0.0,0.41666666666666663,0.0,0.5,-0.12023333315055329,0.12023333315055207
1_8_1_9,18,5770,4,2,2,-10.425943962784107,0.1347200882840697,0.9800062050491221,1.0,1.0,1.0,1.0,-1.17578125,-1.859375,0.5,0.5833333333333333,0.5,0.75,0.0016286520827222262,-0.0016286520827257789
MEAN,,,21.9,10.95,10.95,-3.6630349524997023,0.03149210434848574,0.3079240110606313,0.5891754023975032,0.6898156147969449,0.611301961926962,0.7262325174825175,-1.748607847230894,-1.8510680606286072,0.5018745892796062,0.6178353203628484,0.5014232989232988,0.6855418886668886,0.01179050251173756,-0.01179050251173748
