ec,n_pairs,pident,coverage,covadj,neglog_e,log_alnlen,log_tlen,hmm_bitscore,hmm_neglog_e,adversary,best_single
1_11_1_7,8,0.390625,0.71875,0.453125,0.546875,0.71875,0.5,0.6875,0.6796875,0.703125,0.71875
1_15_1_1,5,0.32,0.68,0.32000000000000006,0.52,0.8,0.8,0.8,0.8,0.8,0.8
1_1_1_23,8,0.421875,1.0,1.0,0.765625,1.0,1.0,1.0,1.0,1.0,1.0
1_1_1_25,93,0.44542721701930854,0.9342120476355649,0.6644698809110879,0.5010983928777893,0.2796277026245809,0.1936640073996994,0.8658804486067754,0.8658804486067754,0.9527112961035957,0.9342120476355649
1_1_1_37,5,0.15999999999999998,0.88,0.6400000000000001,0.15999999999999998,0.31999999999999995,0.08000000000000002,0.8,0.8,0.72,0.9199999999999999
1_1_1_94,13,0.35207100591715973,1.0,0.8284023668639053,0.6745562130177515,0.3076923076923077,0.16568047337278108,0.6094674556213018,0.6094674556213018,1.0,1.0
1_2_1_38,9,0.3333333333333333,0.5802469135802469,0.5432098765432098,0.5555555555555556,0.43209876543209874,0.154320987654321,0.5308641975308642,0.5308641975308642,0.8888888888888888,0.845679012345679
1_2_1_70,19,0.37950138504155123,1.0,1.0,1.0,1.0,0.8476454293628809,1.0,1.0,1.0,1.0
1_8_4_11,5,0.26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2_1_1_166,11,0.36363636363636365,1.0,1.0,1.0,1.0,0.008264462809917359,1.0,1.0,1.0,1.0
2_1_1_182,26,0.45857988165680474,0.9792899408284024,1.0,1.0,0.9807692307692307,0.5,0.9866863905325444,0.9866863905325444,1.0,1.0
2_1_1_199,19,0.4404432132963988,1.0,1.0,1.0,1.0,0.9058171745152355,1.0,1.0,1.0,1.0
2_1_1_228,10,0.39,1.0,1.0,1.0,1.0,0.7000000000000001,0.9,0.9,1.0,1.0
2_1_1_77,5,0.15999999999999998,1.0,1.0,1.0,1.0,0.20000000000000004,1.0,1.0,1.0,1.0
2_1_2_9,25,0.4176,1.0,1.0,0.9872,0.9584,0.48,0.9872,0.9871999999999999,1.0,1.0
2_1_3_2,21,0.35827664399092973,1.0,0.981859410430839,0.05895691609977329,0.04761904761904767,0.0,0.43537414965986393,0.43537414965986393,1.0,1.0
2_3_1_191,14,0.3443877551020408,1.0,1.0,1.0,1.0,0.7142857142857143,1.0,1.0,1.0,1.0
2_3_1_225,9,0.4197530864197531,0.6419753086419753,0.04938271604938271,0.41975308641975306,0.6666666666666666,0.7777777777777778,1.0,1.0,1.0,1.0
2_3_1_234,6,0.36111111111111116,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0
2_3_2_27,176,0.45801588326446285,0.7601691632231405,0.6957967458677685,0.5685692148760331,0.6798489152892562,0.5058270919421488,0.5972365702479339,0.5698121126033058,0.879035382231405,0.7601691632231405
