ec,n_pairs,pident,coverage,covadj,neglog_e,log_alnlen,log_tlen,hmm_bitscore,hmm_neglog_e,adversary,best_single
1_11_1_7,7,1.0,0.7755102040816326,1.0,0.7959183673469388,0.7959183673469388,0.7959183673469388,0.5102040816326531,0.5,1.0,1.0
1_1_1_37,7,1.0,0.846938775510204,1.0,1.0,0.6326530612244898,0.30612244897959184,0.5918367346938775,0.5918367346938775,1.0,1.0
2_3_2_27,5,0.84,0.44,0.52,0.36,0.36,0.19999999999999996,0.64,0.64,0.44000000000000006,0.84
2_5_1_18,15,0.7511111111111111,0.7955555555555556,0.7022222222222222,0.6933333333333334,0.4755555555555556,0.4600000000000001,0.5155555555555555,0.5155555555555555,0.7155555555555555,0.7955555555555556
2_5_1_47,6,0.888888888888889,0.625,0.7777777777777778,0.75,0.6666666666666667,0.5,0.5555555555555556,0.5555555555555556,0.8333333333333334,0.888888888888889
2_7_10_1,15,0.768888888888889,0.9866666666666667,0.9911111111111112,1.0,0.9822222222222222,0.46222222222222226,0.5066666666666667,0.5066666666666667,1.0,1.0
2_7_10_2,16,1.0,1.0,1.0,1.0,0.9765625,0.578125,0.498046875,0.49609375,1.0,1.0
2_7_11_1,435,0.6758620689655173,0.631486325802616,0.6632104637336504,0.6750429383009644,0.6657788347205708,0.6103289734443125,0.5021059585149954,0.5021086008719777,0.7575901704320254,0.6758620689655173
2_7_13_3,10,0.7050000000000001,0.7250000000000001,0.7250000000000001,0.6950000000000001,0.6950000000000001,0.675,0.515,0.51,0.6799999999999999,0.7250000000000001
2_7_4_3,18,0.7592592592592593,0.8518518518518519,0.9537037037037037,0.8827160493827161,0.7669753086419753,0.6805555555555556,0.5061728395061729,0.5123456790123457,0.9876543209876543,0.9537037037037037
2_7_7_3,7,0.8979591836734694,0.8775510204081634,0.8979591836734694,1.0,1.0,0.7959183673469388,0.5306122448979592,0.5306122448979592,0.9591836734693878,1.0
3_1_1_1,7,1.0,1.0,1.0,0.9591836734693878,0.4897959183673469,0.38775510204081637,0.5306122448979591,0.5306122448979591,0.8571428571428572,1.0
3_1_3_11,10,0.9400000000000001,0.85,0.95,0.9400000000000001,0.9500000000000001,0.64,0.56,0.56,0.91,0.9500000000000001
3_2_1_1,6,0.888888888888889,0.888888888888889,0.9444444444444445,1.0,0.9166666666666667,0.888888888888889,0.5,0.5,0.888888888888889,1.0
3_2_1_21,24,0.9809027777777778,0.888888888888889,0.9722222222222222,0.9774305555555556,0.7838541666666666,0.734375,0.5208333333333333,0.5208333333333333,0.9635416666666665,0.9809027777777778
3_6_1_23,5,0.8400000000000001,1.0,0.72,0.19999999999999996,0.19999999999999996,0.19999999999999996,0.36,0.36,1.0,1.0
3_6_1_31,11,0.9752066115702479,1.0,0.9917355371900827,0.6115702479338843,0.20661157024793386,0.19008264462809915,0.5454545454545454,0.5454545454545454,0.9834710743801652,1.0
3_6_4_13,49,0.8985839233652644,0.8917117867555184,0.9037900874635567,0.9508538109121198,0.9416909620991252,0.8225739275301956,0.5091628488129946,0.5089546022490629,0.9371095376926281,0.9508538109121198
4_2_1_33,20,0.94375,0.8362499999999999,0.93625,0.6275,0.11375000000000002,0.115,0.5137499999999999,0.5125,0.9125000000000001,0.94375
5_3_1_16,5,1.0,1.0,1.0,1.0,1.0,1.0,0.48,0.48,1.0,1.0
5_3_1_24,19,0.7950138504155124,0.9750692520775622,0.9722991689750693,0.7008310249307479,0.5927977839335179,0.4681440443213296,0.5041551246537396,0.5055401662049861,0.9806094182825484,0.9750692520775622
5_6_2_4,32,0.89697265625,0.943359375,0.9140625,0.8564453125,0.8466796875,0.794921875,0.5029296875,0.5009765625,0.9580078125,0.943359375
